par_id,category,pcl_score,text
8391,poor-families,1,Marcos said the government should help poor families that try every possible means to survive . With Joel Zurbano <h> More from this Category :
8453,in-need,1,""""""" This incident will not tear us down but rather strengthen us as an organization . We will continue our mission of helping Veterans in need . It is through your generous donations and the volunteers in Chapter 84 that we have been able to provide transportation service for Veterans to their appointments at VA facilities and to build wheel chair ramps at no cost to the Veteran . There is scarcely a family in Alexander County that has not witnessed Chapter 84 's Honor Guard perform Military Rites at a loved ones funeral . Last year , Chapter 84 voted to support ' Dental Care for Veterans , ' a program that is getting underway by the DAV Department of North Carolina . Through this program , Veterans will be able to receive primary dental care at no charge ."""
8463,disabled,1,"Accessibility and the rights of disabled New Zealanders , people with access needs , older people and anyone who is currently struggling to access the world around them , is the social movement of our time ."
8473,disabled,0,The Jali family in Brown 's Farm was elated as the City of Cape Town donated wheelchairs to their disabled members .
8478,women,0,"So , let the NPP government appointees look down upon the hardworking and selfless men and women at their own peril ."
8480,hopeless,0,""""""" So we do need to heal ourselves as an Aboriginal Torres Strait islander community , but also as a nation . """" <h> A life of hope , not hopelessness"""
8502,women,1,""""""" The government needs to come forward , and it needs to give resources to legal aid , so that those women and those families have their basic human rights and safety met , around representation and justice , the ability to navigate that Goliath of an office with a great deal of power , and to ensure they have the education and the advocacy that they need . """" <h> Child and Youth Advocate responds"""
8560,homeless,1,"As leaders , we will personally support victims but we ask the government to also help . We are going to clear all victims ' hospital bills and we want to ensure that those left homeless receive shelter ."
8566,homeless,0,"""On Oct. 1 , at the Working America blog , a community affiliate of the AFL-CIO , New Hampshire writer Susan Bruce attempted to make sense of the outrage : """" The lack of compassion is troubling but the level of anger is even more disconcerting . I suspect that the anger some people have for the homeless is fueled by their own fears that they are only a paycheck or two away from being homeless themselves . """""""
8578,refugee,0,""""""" The fact is that ruthless smugglers are preying on desperate migrants and refugees with no regard at all for human dignity , """" said Michele Sison , the US Deputy Ambassador to the UN ."""
8591,homeless,0,His friends at the Chevron want people to know he was n't just a faceless homeless person . He was their friend and their family .
8616,poor-families,1,""""""" We want all poor families to earn enough and save enough . The rural savings banks were meant to encourage that . """""""
8626,in-need,1,""""""" Your personal leadership has been critical to addressing the plight of the Rohingya who fled to safety in your country . I thank you for all you have done to assist these men , women and children in need , """" he wrote in the message ."""
8655,refugee,0,"""E-mail Address : * <h> A clinic called """" Hope """" helps a Syrian refugee boy cope with diabetes"""
8677,homeless,0,REUTERSThe hands of a homeless man are seen as he rests inside an overcrowded shelter set up by the city hall in Bucharest as temperatures plunge to minus 16 degrees Celsius .
8689,homeless,0,"Allman Town resident Sonya Wilson ( second left ) , and one of her daughters ( fourth left ) hand out boxed lunches to a group of homeless people on King Street , downtown Kingston , on Thursday ."
8701,poor-families,1,"""She recalled being so proud of being part of a small group of students involved in """" The Goat Project """" where students raised money to help poor families in Africa ."""
8718,women,0,"I am a Jaffna Tamil residing in the USA and I see the Sri Lankan professionals over here , both the Tamils and Sinhalese , holding top positions in Research , Universities HighTech industries , Law , and Finance.But then looking at the sterile Arab countries all we see are Sri Lankan women working as maids and servents to the rags to riches Arabs.A self respecting society would n't allow its women to be transported as maids to foreign land ."
8744,homeless,0,"""Black grew up in the neighbourhood around the church , where he would eat Franklin 's cooking at lavish meals she provided for the community and the homeless each Thanksgiving and Christmas . """" She made the best oxtail soup , with that cornbread , and it was to die for , """" he recalled . """" It would be so much food that you would n't know what to do . """""""
8838,in-need,1,""""""" I always consider this job as a gift , being a nurse is a reward and task given by God to help those who are in need . Seeing your patient recover from an illness , watching their families smile when you give them care , and hearing the first cry of a newborn are just some of the things that make my work special . It might be a heavy work but it can lighten your heart , """" she expressed ."""
8873,poor-families,1,"On the occasion , Major Fahad also distributed ration among the 40 poor families present at the medical camp . He said that army had been struggling to protect and serve the people of Swat and had stood by them in every troubled hour . People hoped that more such free medical camps would be arranged in the future ."
8883,vulnerable,0,""""""" Economic uncertainty can not be an excuse to slow down our development efforts , """" he said . """" It is a reason to speed them up . By investing in the MDGs , we invest in global economic growth . By focusing on the needs of the most vulnerable , we lay the foundation for a more sustainable and prosperous tomorrow . """""""
8891,homeless,1,"6 years ago she lost her husband -- he died from heart disease , and since then Wood lives alone with her children and a dog . When she learnt about Michael and Cory 's terrible life problems , she realised she had to help . This woman has a big kind heart . There were 2 empty rooms in her house , so she invited the homeless to live there . Many people might consider her action as a madness but Mel says that since her husband 's death , she does n't fear anything ."
8893,homeless,1,"The 2017 hurricane season has dealt a stinging blow to several small Caribbean island nations and the southeastern United States . The death toll attributed to Hurricane Irma alone has risen to 70 , with billions of dollars in damages , even while Hurricane Maria delivered a steely punch as a category 5 monster . Many have been left homeless , and stunned - lives interrupted , businesses disrupted and overwhelmed governments in small states like Dominica , Barbuda , and Anguilla grappling with the task of relief and recovery ."
8901,in-need,0,""""""" You also get to meet a lot of people """" enthuses Kanthi . Kanthi , has not only grasped the opportunity to meet a lot of people through dancing , but has also used the chance to reach out to those in need of help . The proceeds from ' Step by step ' will be in aid of the Society for Uplift and Rehabilitation of Leprosy Patients ( SUROL ) ."""
8918,homeless,0,The homeless pitch in whatever money they have so Yen can cook up a feast .
8924,vulnerable,0,""""""" Protecting the disadvantaged members of our community is a cardinal role of any government and my administration in partnership with religious leaders will carry out fresh mapping of vulnerable members of our society and use the data to draw up a deliberate plan to support them , """" he said ."""
